Delta_Gibbs,smiles
-5.407,CC1=CCC(CC1)C(=C)CCC=C(C)C
-5.64,CC1CCC2(C1C2)C(C)C
-5.577,COC1=CC(=CC(=C1OC)OC)CC=C
-5.66,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C
-1.503,CCCCCCCCCCCCCCCCC(=O)O
-5.775,COC1=C2C(=C(C(=C1)CC=C)OC)OCO2
-0.694,CCCCCCCCCCCCCC(=O)O
-2.474,CCCCCCC1CC1CCCCCCCC(=O)O
-5.622,CC1CCC2C1C3C(C3(C)C)CCC2=C
-6.051,CC1CCC2C13CCC(=C)C(C3)C2(C)C 
-5.6,CC(C)C1CCC(=C)C=C1
-5.714,CC1=CCC(C(C)C)(O)CC1
-5.755,CC1=CCC(=C(C)C)CC1
-5.885,CC1CC2=C(C(=CO2)C)C3=C1C=CC(=C3)C
-6.062,CC1CCC(C2C1(CCC(=C2)C)O)C(C)C
-7.973,C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
-5.005,CC1=CC=C(CC1)C(C)CCC=C(C)C
-5.768,CC1=CC2C(CC1)C(=CCC2C(C)C)C
-5.202,CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C
-5.838,CC(C)C12CCC(C1C2)(C)O
0.203,CCCCCCCCCCCCCCC
-5.333,CC1CCC(C(C1)O)C(C)C
-1.096,CCCCCCCCCCCCCCC(=O)O
-6.054,CC1=CCCC(=CC2C(C2(C)C)CC1)C
-5.371,CC1=CC=C(C=C1)C(C)(C)O
-5.992,CC1=C(C(=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)OC)C)O
-5.762,CC1(C2CCC(=C)C1C2)C
-6.697,COC1=CC(=CC2=C1C(=O)CC(O2)C3=CC=CC=C3)O
-4.289,CC(=CCCC(=CCOC(=O)C)C)C
-2.035,CC(=CCCC(=CCCC(=CCO)C)C)C
-4.974,CC1=CCC(CC1)C(C)(CCC=C(C)C)O
-5.707,CC1=C(C=C2C(=C1O)C(=O)C=C(O2)C3=CC=C(C=C3)OC)OC
-5.876,COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O
-5.563,CC1=CC2C(CCC(C2CC1)(C)O)C(C)C
-4.146,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
-5.398,CC1=CCC(CC1)C(C)(C)O
-5.75,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
-6.275,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
-5.542,CC(C12CCC(C1C2)=C)C
-5.865,CC1=CCC2C3C1C2(CCC3C(C)C)C
-5.03,CC1=CCC(CC1)C(=C)C
-6.504,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
-5.497,C1=CC=C(C=C1)C=O
-5.916,CC1=CCC(C=CCC(=CCC1)C)(C)C
-5.925,CC1CCC(C(=O)C1)C(C)C
-5.867,CC1(C2CCC(O1)(CC2)C)C
-5.309,CC1CCC(C(C1)OC(=O)C)C(C)C
-6.463,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
-6.64,CC1=C(C2=C(C(=C1OC)C)OC(=CC2=O)C3=CC=C(C=C3)O)O
-5.082,CCC(=O)OCCC1=CC=CC=C1
-2.877,CC(=CCCC(=C)C=C)C
-5.956,C1CCN(CC1)C2=NC3=CC=CC=C3C=C2
-4.871,COC1=C(C=CC(=C1)CC=C)O
0.067,C(=CC(=O)O)C(=O)O
-2.545,CCCCCC=CCC=CCCCCCCCC(=O)O
-4.87,COC(=O)C1=CC=CC=C1O
-5.478,CC1CCC2C1C3C(C3(C)C)CCC2=C
-5.132,CC1=CCC(CC1)C(=C)C
-6.307,CC1=CC2C(CC1)C(=C)CCC2C(C)C
-5.59,CC1CCC(=C(C)C)C(=O)C1
-5.527,OC(C)(C)C1CC=C(C)CC1
-6.781,CC=C(C)C(=O)OC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O
-6.454,CC1=C(C=C2C(=C1O)C(=O)C=C(O2)C3=CC=C(C=C3)O)OC
-3.533,C(=CC(=O)O)C(=O)O
-1.287,CCCCCCC=CCCCCCCCC(=O)O
-1.686,CCCCCCCCC=CCCCCCCCC(=O)O
