,CID,docking score,PLANT
0,10104370,-5.407,Baccharis latifolia
1,101629835,-5.64,Aloysia triphylla
2,10248,-5.577,buddleja globosa
3,10398656,-5.66,Aloysia triphylla
4,10465,-1.503,Capsella bursa 
5,10659,-5.775,buddleja globosa
6,11005,-0.694,Capsella bursa 
7,11043779,-2.474,Capsella bursa 
8,11095734,-5.622,buddleja globosa
9,11106485,-6.051,Brugmanciaandida
10,11142,-5.6,Baccharis latifolia
11,11230,-5.714,Aloysia triphylla
12,11463,-5.755,Brugmanciaandida
13,11745938,-5.885,Baccharis latifolia
14,11770062,-6.062,Baccharis latifolia
15,122850,-7.973,"E. tlocktoniae, E. salubris ."
17,12304273,-5.005,Baccharis latifolia
18,12306047,-5.768,buddleja globosa
19,12309449,-5.202,Aloysia triphylla
20,12315151,-5.838,Brugmanciaandida
21,12391,0.203,buddleja globosa
22,1254,-5.333,Minthostachys mollis
23,13849,-1.096,Capsella bursa 
24,13894537,-6.054,Baccharis latifolia
26,14529,-5.371,buddleja globosa
27,14753671,-5.992,Leucheria daucifolia (D. Don)
28,14896,-5.762,Brugmanciaandida
29,154279,-6.697,E. sieberi
30,1549025,-4.289,Aloysia triphylla
31,1549109,-2.035,Brugmanciaandida
33,1549992,-4.974,Baccharis latifolia
34,15715157,-5.707,Leucheria daucifolia (D. Don)
35,159287,-5.876,Leucheria daucifolia (D. Don)
36,160799,-5.563,buddleja globosa
37,16213286,-4.146,Capsella bursa 
38,17100,-5.398,Brugmanciaandida
39,1742210,-5.75,Aloysia triphylla
41,1794427,-6.275,Bidens andicola
42,18818,-5.542,Aloysia triphylla
43,19725,-5.865,Aloysia triphylla
45,22311,-5.03,Brugmanciaandida
46,2345,-6.504,Brugmanciaandida
47,240,-5.497,Brugmanciaandida
48,24798693,-5.916,Bidens pilosa
49,26447,-5.925,Minthostachys mollis
50,2758,-5.867,Brugmanciaandida
51,27867,-5.309,Minthostachys mollis
52,3034034,-6.463,Cinchona officinalis
54,3083788,-6.64,E. sideroxylon
55,31225,-5.082,Aloysia triphylla
56,31253,-2.877,Baccharis latifolia
64,316974,-5.956,Cinchona officinalis
65,3314,-4.871,Aloysia triphylla
66,3893,0.067,Capsella bursa 
67,3931,-2.545,Capsella bursa 
71,4133,-4.87,Brugmanciaandida
72,42608158,-5.478,Aloysia triphylla
73,440917,-5.132,buddleja globosa
74,441005,-6.307,Aloysia triphylla
